Altium Designer Pick and Place Locations
C:\Users\yms\source\repos\um-leo-cots\pcbs\rev0\LEO_COTS_panelization_rev0\Project Outputs for LEO_COTS_panelization_rev0\Pick Place\Pick Place for LEO_COTS_panelization_rev0.csv

========================================================================================================================
File Design Information:

Date:       15/11/21
Time:       12:32
Revision:   6662171d09aab14064ce03f627b29be78a2621ab
Variant:    No variations
Units used: mil

"Designator","Description","Footprint","Comment","Layer","Center-X(mil)","Center-Y(mil)","Rotation","Supplier 1","Supplier Part Number 1"
"P1","CONN UMCC JACK STR 50OHM SMD","1909763-1","1909763-1","TopLayer","1474.902","2007.874","90","Digi-Key","A118077CT-ND"
"P1","CONN UMCC JACK STR 50OHM SMD","1909763-1","1909763-1","TopLayer","1383.366","1433.071","270","Digi-Key","A118077CT-ND"
"R2","RES 50 OHM 0201","CAPC0603X04N","RES_0201","TopLayer","1203.402","1530.583","270","",""
"R1","RES 1K OHM 0201","CAPC0603X04N","RES_0201","TopLayer","914.402","1529.583","180","",""
"J1","10-pin JTAG","FTSH-105-01-F-DV-007-K","10-Pin JTAG","TopLayer","719.701","1595.882","0","Digi-Key","FTSH-105-01-L-DV-007-K-P-ND"
"C10","CAP CER 1uF 0201","CAPC0603X04N","CAP_0201","TopLayer","1046.701","1684.882","270","",""
"C9","CAP CER 12pF 0201","CAPC0603X04N","CAP_0201","TopLayer","1148.402","1650.583","270","",""
"Y2","32.768 kHz SMD Crystal","XTAL_ECS-.327-7-12-TR","ECS-.327-7-12-TR","TopLayer","1190.402","1609.583","90","",""
"Y1","24 MHz crystal","LFXTAL081608","830108160801","TopLayer","1070.701","1396.882","180","",""
"U1","Ultra-Low-Power Dual-Band Wireless MCU","QFN40P400X400X100-33N","CC1350F128RSMR","TopLayer","1052.402","1539.583","180","Digi-Key","296-48897-1-ND"
"C8","CAP CER 12pF 0201","CAPC0603X04N","CAP_0201","TopLayer","1173.402","1530.583","90","",""
"C7","CAP CER 12pF 0201","CAPC0603X04N","CAP_0201","TopLayer","1193.402","1488.583","180","",""
"C6","CAP CER 12pF 0603","1608[0603]","CAP","TopLayer","1212.599","1417.323","270","",""
"C5","CAP CER 100nF 0201","CAPC0603X04N","CAP_0201","TopLayer","1122.047","1409.449","90","",""
"C4","CAP CER 10uF 0603","CAPC1608X05N","CAP_0603","TopLayer","1157.480","1401.575","270","",""
"C3","CAP CER 100nF 0201","CAPC0603X04N","CAP_0201","TopLayer","1005.402","1400.583","90","",""
"C2","CAP CER 100nF 0201","CAPC0603X04N","CAP_0201","TopLayer","914.402","1563.583","0","",""
"C1","CAP CER 100nF 0201","CAPC0603X04N","CAP_0201","TopLayer","1077.701","1684.882","270","",""
"BT1","CR2032 Battery Holder","BAT-HLD-001-TR","BATT_CR2032","BottomLayer","805.118","1535.433","180","Digi-Key","BAT-HLD-001-TRCT-ND"
"P1","CONN UMCC JACK STR 50OHM SMD","1909763-1","1909763-1","TopLayer","1670.768","1062.992","270","Digi-Key","A118077CT-ND"
"U2","3x Frequency Multiplier","RMK-3-331+","RMK-3-332+","TopLayer","1393.691","1019.685","90","",""
"R2","RES 50 OHM 0201","CAPC0603X04N","RES_0201","TopLayer","1203.402","1058.142","270","",""
"R1","RES 1K OHM 0201","CAPC0603X04N","RES_0201","TopLayer","914.402","1057.142","180","",""
"J1","10-pin JTAG","FTSH-105-01-F-DV-007-K","10-Pin JTAG","TopLayer","719.701","1123.441","0","Digi-Key","FTSH-105-01-L-DV-007-K-P-ND"
"C10","CAP CER 1uF 0201","CAPC0603X04N","CAP_0201","TopLayer","1046.701","1212.441","270","",""
"C9","CAP CER 12pF 0201","CAPC0603X04N","CAP_0201","TopLayer","1148.402","1178.142","270","",""
"Y2","32.768 kHz SMD Crystal","XTAL_ECS-.327-7-12-TR","ECS-.327-7-12-TR","TopLayer","1190.402","1137.142","90","",""
"Y1","24 MHz crystal","LFXTAL081608","830108160801","TopLayer","1070.701","924.441","180","",""
"U1","Ultra-Low-Power Dual-Band Wireless MCU","QFN40P400X400X100-33N","CC1350F128RSMR","TopLayer","1052.402","1067.142","180","Digi-Key","296-48897-1-ND"
"C8","CAP CER 12pF 0201","CAPC0603X04N","CAP_0201","TopLayer","1173.402","1058.142","90","",""
"C7","CAP CER 12pF 0201","CAPC0603X04N","CAP_0201","TopLayer","1193.402","1016.142","180","",""
"C6","CAP CER 12pF 0603","1608[0603]","CAP","TopLayer","1212.599","944.882","270","",""
"C5","CAP CER 100nF 0201","CAPC0603X04N","CAP_0201","TopLayer","1122.047","937.008","90","",""
"C4","CAP CER 10uF 0603","CAPC1608X05N","CAP_0603","TopLayer","1157.480","929.134","270","",""
"C3","CAP CER 100nF 0201","CAPC0603X04N","CAP_0201","TopLayer","1005.402","928.142","90","",""
"C2","CAP CER 100nF 0201","CAPC0603X04N","CAP_0201","TopLayer","914.402","1091.142","0","",""
"C1","CAP CER 100nF 0201","CAPC0603X04N","CAP_0201","TopLayer","1077.701","1212.441","270","",""
"BT1","CR2032 Battery Holder","BAT-HLD-001-TR","BATT_CR2032","BottomLayer","805.118","1062.992","180","Digi-Key","BAT-HLD-001-TRCT-ND"
"U2","3x Frequency Multiplier","RMK-3-331+","RMK-3-332+","TopLayer","1393.691","547.244","90","",""
"R2","RES 50 OHM 0201","CAPC0603X04N","Res Semi","TopLayer","1203.402","585.701","270","",""
"R1","RES 1K OHM 0201","CAPC0603X04N","Res Semi","TopLayer","914.402","584.701","180","",""
"J1","10-pin JTAG","FTSH-105-01-F-DV-007-K","10-Pin JTAG","TopLayer","719.701","651.000","0","Digi-Key","FTSH-105-01-L-DV-007-K-P-ND"
"C10","CAP CER 1uF 0201","CAPC0603X04N","CAP_0201","TopLayer","1046.701","740.000","270","",""
"C9","CAP CER 12pF 0201","CAPC0603X04N","CAP_0201","TopLayer","1148.402","705.701","270","",""
"Y2","32.768 kHz SMD Crystal","XTAL_ECS-.327-7-12-TR","ECS-.327-7-12-TR","TopLayer","1190.402","664.701","90","",""
"Y1","24 MHz crystal","LFXTAL081608","830108160801","TopLayer","1070.701","452.000","180","",""
"U1","Ultra-Low-Power Dual-Band Wireless MCU","QFN40P400X400X100-33N","CC1350F128RSMR","TopLayer","1052.402","594.701","180","",""
"C8","CAP CER 12pF 0201","CAPC0603X04N","CAP_0201","TopLayer","1173.402","585.701","90","",""
"C7","CAP CER 12pF 0201","CAPC0603X04N","CAP_0201","TopLayer","1193.402","543.701","180","",""
"C6","CAP CER 12pF 0603","1608[0603]","CAP","TopLayer","1212.599","472.441","270","",""
"C5","CAP CER 100nF 0201","CAPC0603X04N","CAP_0201","TopLayer","1122.047","464.567","90","",""
"C4","CAP CER 10uF 0603","CAPC1608X05N","CAP_0603","TopLayer","1157.480","456.693","270","",""
"C3","CAP CER 100nF 0201","CAPC0603X04N","CAP_0201","TopLayer","1005.402","455.701","90","",""
"C2","CAP CER 100nF 0201","CAPC0603X04N","CAP_0201","TopLayer","914.402","618.701","0","",""
"C1","CAP CER 100nF 0201","CAPC0603X04N","CAP_0201","TopLayer","1077.701","740.000","270","",""
"BT1","CR2032 Battery Holder","BAT-HLD-001-TR","BATT_CR2032","BottomLayer","805.118","590.551","180","Digi-Key","BAT-HLD-001-TRCT-ND"
